locus_tag	ftype	length_bp	gene	EC_number	COG	product
HDIIENPN_00043	CDS	1971	topB_1	5.6.2.1	COG0550	DNA topoisomerase 3
HDIIENPN_00044	CDS	948	yfdH	2.4.1.-	COG0463	Prophage bactoprenol glucosyl transferase 
HDIIENPN_00045	CDS	465	ogt	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase, constitutive
HDIIENPN_00046	CDS	1044				hypothetical protein
HDIIENPN_00047	CDS	966				hypothetical protein
HDIIENPN_00048	CDS	846	cysL		COG0583	HTH-type transcriptional regulator CysL
HDIIENPN_00049	CDS	1188	rodA	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase RodA
HDIIENPN_00050	CDS	357	mgsR		COG1393	Regulatory protein MgsR
HDIIENPN_00051	CDS	339	gcvH		COG0509	Glycine cleavage system H protein
HDIIENPN_00052	CDS	1044	metN2	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN 2
HDIIENPN_00053	CDS	687	metP_1		COG2011	Methionine import system permease protein MetP
HDIIENPN_00054	CDS	849	metQ_1		COG1464	Methionine-binding lipoprotein MetQ
HDIIENPN_00055	CDS	774				putative ABC transporter ATP-binding protein
HDIIENPN_00056	CDS	1287				hypothetical protein
HDIIENPN_00057	CDS	1236	sufS	2.8.1.7	COG0520	Cysteine desulfurase SufS
HDIIENPN_00058	CDS	471	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
HDIIENPN_00059	CDS	1392				hypothetical protein
HDIIENPN_00060	CDS	1182	xerC_1			Tyrosine recombinase XerC
HDIIENPN_00061	CDS	735				hypothetical protein
HDIIENPN_00062	CDS	276				hypothetical protein
HDIIENPN_00063	CDS	1998				hypothetical protein
HDIIENPN_00064	CDS	336				hypothetical protein
HDIIENPN_00065	CDS	216				hypothetical protein
HDIIENPN_00066	CDS	366				hypothetical protein
HDIIENPN_00067	CDS	327				hypothetical protein
HDIIENPN_00068	CDS	726				hypothetical protein
HDIIENPN_00069	CDS	1593				hypothetical protein
HDIIENPN_00070	CDS	1245				hypothetical protein
HDIIENPN_00071	CDS	3150				hypothetical protein
HDIIENPN_00072	CDS	1446				IS1182 family transposase ISEfa7
HDIIENPN_00073	CDS	666				hypothetical protein
HDIIENPN_00074	CDS	2037				hypothetical protein
HDIIENPN_00075	CDS	639	yknY	3.6.3.-	COG1136	putative ABC transporter ATP-binding protein YknY
HDIIENPN_00076	CDS	429				hypothetical protein
HDIIENPN_00077	CDS	912	prsA_1	5.2.1.8		Foldase protein PrsA
HDIIENPN_00078	CDS	438				hypothetical protein
HDIIENPN_00079	CDS	885		2.7.1.-	COG1597	Putative lipid kinase
HDIIENPN_00080	CDS	3168				hypothetical protein
HDIIENPN_00081	CDS	546				hypothetical protein
HDIIENPN_00082	CDS	456				hypothetical protein
HDIIENPN_00083	CDS	759				hypothetical protein
HDIIENPN_00084	CDS	741				hypothetical protein
HDIIENPN_00085	CDS	1254				hypothetical protein
HDIIENPN_00086	CDS	228				hypothetical protein
HDIIENPN_00087	CDS	327				hypothetical protein
HDIIENPN_00088	CDS	714	strA	3.4.22.-	COG3764	Sortase A
HDIIENPN_00089	CDS	852	licT_1		COG3711	Transcription antiterminator LicT
HDIIENPN_00090	CDS	150				hypothetical protein
HDIIENPN_00091	CDS	1866	bglF_1		COG1263	PTS system beta-glucoside-specific EIIBCA component
HDIIENPN_00092	CDS	1371	bglH_1	3.2.1.86	COG2723	Aryl-phospho-beta-D-glucosidase BglH
HDIIENPN_00093	CDS	702				hypothetical protein
HDIIENPN_00094	CDS	489	fruA_1		COG1299	PTS system fructose-specific EIIB'BC component
HDIIENPN_00095	CDS	111				hypothetical protein
HDIIENPN_00096	CDS	576	yvdD		COG1611	LOG family protein YvdD
HDIIENPN_00097	CDS	441				hypothetical protein
HDIIENPN_00098	CDS	702		2.7.1.113	COG1428	Deoxyguanosine kinase
HDIIENPN_00099	CDS	174				hypothetical protein
HDIIENPN_00100	CDS	426				hypothetical protein
HDIIENPN_00101	CDS	972	rbsR		COG1609	Ribose operon repressor
HDIIENPN_00102	CDS	1398	gmuD_1	3.2.1.86	COG2723	6-phospho-beta-glucosidase GmuD
HDIIENPN_00103	CDS	624				hypothetical protein
HDIIENPN_00104	CDS	2094	ltaS1_1		COG1368	Lipoteichoic acid synthase 1
HDIIENPN_00105	CDS	867				hypothetical protein
HDIIENPN_00106	CDS	438	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
HDIIENPN_00107	CDS	2649	mgtA	7.2.2.14	COG0474	Magnesium-transporting ATPase, P-type 1
HDIIENPN_00108	CDS	672		3.1.3.-	COG0637	Phosphorylated carbohydrates phosphatase
HDIIENPN_00109	CDS	600				hypothetical protein
HDIIENPN_00110	CDS	1074	metN	3.6.3.-	COG1135	Methionine import ATP-binding protein MetN
HDIIENPN_00111	CDS	681	metP_2		COG2011	Methionine import system permease protein MetP
HDIIENPN_00112	CDS	840	metQ_2		COG1464	D-methionine-binding lipoprotein MetQ
HDIIENPN_00113	CDS	1224	abgB	3.5.1.-	COG1473	p-aminobenzoyl-glutamate hydrolase subunit B
HDIIENPN_00114	CDS	1419	nhaC_1		COG1757	Na(+)/H(+) antiporter NhaC
HDIIENPN_00115	CDS	444				hypothetical protein
HDIIENPN_00116	CDS	1341	yvbW		COG1113	putative amino acid permease YvbW
HDIIENPN_00117	CDS	897				hypothetical protein
HDIIENPN_00118	CDS	942	panE	1.1.1.169	COG1893	2-dehydropantoate 2-reductase
HDIIENPN_00119	CDS	1122	garK	2.7.1.165	COG1929	Glycerate 2-kinase
HDIIENPN_00120	CDS	1503	eat(A)			ABC-F type ribosomal protection protein Eat(A)
HDIIENPN_00121	CDS	528	pspB	3.1.3.3	COG0406	Putative phosphoserine phosphatase 2
HDIIENPN_00122	CDS	1062				hypothetical protein
HDIIENPN_00123	CDS	897	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
HDIIENPN_00124	CDS	1983				hypothetical protein
HDIIENPN_00125	CDS	447			COG1780	Putative NrdI-like protein
HDIIENPN_00126	CDS	1425	arcD1_2		COG0531	Arginine/ornithine antiporter ArcD1
HDIIENPN_00127	CDS	774				hypothetical protein
HDIIENPN_00128	CDS	906	bcrA_1			Bacitracin transport ATP-binding protein BcrA
HDIIENPN_00129	CDS	321	gdx		COG2076	Guanidinium exporter
HDIIENPN_00130	CDS	687				hypothetical protein
HDIIENPN_00131	CDS	945				hypothetical protein
HDIIENPN_00132	CDS	645	pcp	3.4.19.3		Pyrrolidone-carboxylate peptidase
HDIIENPN_00133	CDS	1278				hypothetical protein
HDIIENPN_00134	CDS	750	pnuC		COG3201	Nicotinamide riboside transporter PnuC
HDIIENPN_00135	CDS	381				hypothetical protein
HDIIENPN_00136	CDS	510				hypothetical protein
HDIIENPN_00137	CDS	180				hypothetical protein
HDIIENPN_00138	CDS	564				hypothetical protein
HDIIENPN_00139	CDS	516				hypothetical protein
HDIIENPN_00140	CDS	870	ywpJ_1	3.1.3.-	COG0561	Phosphatase YwpJ
HDIIENPN_00141	CDS	681	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
HDIIENPN_00142	CDS	981	pta	2.3.1.8	COG0280	Phosphate acetyltransferase
HDIIENPN_00143	CDS	474	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
HDIIENPN_00144	CDS	525				hypothetical protein
HDIIENPN_00145	CDS	534	polC_1	2.7.7.7	COG2176	DNA polymerase III PolC-type
HDIIENPN_00146	CDS	753	exoA	3.1.11.2	COG0708	Exodeoxyribonuclease
HDIIENPN_00147	CDS	921	yceM	1.-.-.-	COG0673	Putative oxidoreductase YceM
HDIIENPN_00148	CDS	936	murB	1.3.1.98	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase
HDIIENPN_00149	CDS	1479				hypothetical protein
HDIIENPN_00150	CDS	2061				hypothetical protein
HDIIENPN_00151	CDS	570				hypothetical protein
HDIIENPN_00152	CDS	807				hypothetical protein
HDIIENPN_00153	CDS	1515		1.3.5.4	COG1053	Fumarate reductase flavoprotein subunit
HDIIENPN_00154	CDS	984		1.3.1.103		2-haloacrylate reductase
HDIIENPN_00155	CDS	648	yhfK	4.-.-.-	COG0702	putative sugar epimerase YhfK
HDIIENPN_00156	CDS	633	panT_1		COG4684	Pantothenic acid transporter PanT
HDIIENPN_00157	CDS	552	coaBC_1		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
HDIIENPN_00158	CDS	738	coaBC_2	6.3.2.5		Coenzyme A biosynthesis bifunctional protein CoaBC
HDIIENPN_00159	CDS	990	acuI	1.3.1.84	COG0604	putative acrylyl-CoA reductase AcuI
HDIIENPN_00160	CDS	543				hypothetical protein
HDIIENPN_00161	CDS	1086	potA	7.6.2.11		Spermidine/putrescine import ATP-binding protein PotA
HDIIENPN_00162	CDS	807	potB		COG1176	Spermidine/putrescine transport system permease protein PotB
HDIIENPN_00163	CDS	828	ydcV			Inner membrane ABC transporter permease protein YdcV
HDIIENPN_00164	CDS	1074	potD		COG0687	Spermidine/putrescine-binding periplasmic protein
HDIIENPN_00165	CDS	2619	dgaR_1			Transcriptional regulatory protein DagR
HDIIENPN_00166	CDS	423				hypothetical protein
HDIIENPN_00167	CDS	495		2.7.1.-		putative phosphotransferase enzyme IIB component
HDIIENPN_00168	CDS	810				hypothetical protein
HDIIENPN_00169	CDS	822	manZ_1		COG3716	PTS system mannose-specific EIID component
HDIIENPN_00170	CDS	2100				hypothetical protein
HDIIENPN_00171	CDS	1119				hypothetical protein
HDIIENPN_00172	CDS	879	gmuE_1	2.7.1.4	COG1940	Putative fructokinase
HDIIENPN_00173	CDS	813				hypothetical protein
HDIIENPN_00174	CDS	108				hypothetical protein
HDIIENPN_00175	CDS	1068				hypothetical protein
HDIIENPN_00176	CDS	204				hypothetical protein
HDIIENPN_00177	CDS	1203	xerC_2			Tyrosine recombinase XerC
HDIIENPN_00178	CDS	1131	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
HDIIENPN_00179	CDS	954			COG2826	IS30 family transposase IS1252
HDIIENPN_00180	CDS	393	glnR		COG0789	HTH-type transcriptional regulator GlnR
HDIIENPN_00181	CDS	1341	glnA	6.3.1.2		Glutamine synthetase
HDIIENPN_00182	CDS	246				hypothetical protein
HDIIENPN_00183	CDS	1611	pyrG	6.3.4.2	COG0504	CTP synthase
HDIIENPN_00184	CDS	870	fba	4.1.2.13	COG0191	Fructose-bisphosphate aldolase
HDIIENPN_00185	CDS	1272	murA1_1	2.5.1.7		UDP-N-acetylglucosamine 1-carboxyvinyltransferase
HDIIENPN_00186	CDS	1296	rho	3.6.4.-	COG1158	Transcription termination factor Rho
HDIIENPN_00187	CDS	264	rpmE2		COG0254	50S ribosomal protein L31 type B
HDIIENPN_00188	CDS	450	fruA_2		COG1299	PTS system fructose-specific EIIABC component
HDIIENPN_00189	CDS	1419	fruA_3		COG1299	PTS system fructose-specific EIIABC component
HDIIENPN_00190	CDS	861	kbaY	4.1.2.40	COG0191	D-tagatose-1,6-bisphosphate aldolase subunit KbaY
HDIIENPN_00191	CDS	738	ydjF		COG1349	putative HTH-type transcriptional regulator YdjF
HDIIENPN_00192	CDS	366				hypothetical protein
HDIIENPN_00193	CDS	1209	yfcJ			putative MFS-type transporter YfcJ
HDIIENPN_00194	CDS	279				hypothetical protein
HDIIENPN_00195	CDS	696	larR		COG0664	Lactate racemization regulatory protein
HDIIENPN_00196	CDS	798				hypothetical protein
HDIIENPN_00197	CDS	1185				hypothetical protein
HDIIENPN_00198	CDS	1248				hypothetical protein
HDIIENPN_00199	CDS	1746				hypothetical protein
HDIIENPN_00200	CDS	315			COG0718	Nucleoid-associated protein
HDIIENPN_00201	CDS	597	recR		COG0353	Recombination protein RecR
HDIIENPN_00202	CDS	645	tmk	2.7.4.9	COG0125	Thymidylate kinase
HDIIENPN_00203	CDS	330	darA		COG3870	Cyclic di-AMP receptor A
HDIIENPN_00204	CDS	939				hypothetical protein
HDIIENPN_00205	CDS	825				hypothetical protein
HDIIENPN_00206	CDS	348	yabA		COG4467	Initiation-control protein YabA
HDIIENPN_00207	CDS	873	rsmI	2.1.1.198		Ribosomal RNA small subunit methyltransferase I
HDIIENPN_00208	CDS	1122	dinB	2.7.7.7	COG0389	DNA polymerase IV
HDIIENPN_00209	CDS	603				hypothetical protein
HDIIENPN_00210	CDS	2190	nrdD	1.1.98.6	COG1328	Anaerobic ribonucleoside-triphosphate reductase
HDIIENPN_00211	CDS	768	bceA_1		COG1136	Bacitracin export ATP-binding protein BceA
HDIIENPN_00212	CDS	2043	bceB_1		COG0577	Bacitracin export permease protein BceB
HDIIENPN_00213	CDS	150				hypothetical protein
HDIIENPN_00214	CDS	1515	dltA	6.2.1.54	COG1020	D-alanine--D-alanyl carrier protein ligase
HDIIENPN_00215	CDS	1206				hypothetical protein
HDIIENPN_00216	CDS	234	dltC		COG0236	D-alanyl carrier protein
HDIIENPN_00217	CDS	1269	dltD		COG3966	Protein DltD
HDIIENPN_00218	CDS	1083	ysdC	3.4.11.-	COG1363	Putative aminopeptidase YsdC
HDIIENPN_00219	CDS	804				hypothetical protein
HDIIENPN_00220	CDS	741			COG1234	putative protein
HDIIENPN_00221	CDS	1005	lplJ	6.3.1.20	COG0095	Lipoate-protein ligase LplJ
HDIIENPN_00222	CDS	1845				hypothetical protein
HDIIENPN_00223	CDS	390				hypothetical protein
HDIIENPN_00224	CDS	684	trmR	2.1.1.-	COG4122	tRNA 5-hydroxyuridine methyltransferase
HDIIENPN_00225	tRNA	75				tRNA-Arg(tct)
HDIIENPN_00226	CDS	360				hypothetical protein
HDIIENPN_00227	CDS	1632	dauA		COG0659	C4-dicarboxylic acid transporter DauA
HDIIENPN_00228	CDS	642	udg	3.2.2.27	COG1573	Type-4 uracil-DNA glycosylase
HDIIENPN_00229	CDS	309	rplU		COG0261	50S ribosomal protein L21
HDIIENPN_00230	CDS	345				hypothetical protein
HDIIENPN_00231	CDS	294	rpmA			50S ribosomal protein L27
HDIIENPN_00232	CDS	2835	dgaR_2			Transcriptional regulatory protein DagR
HDIIENPN_00233	CDS	492	manX_1	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
HDIIENPN_00234	CDS	990	manX_2	2.7.1.191		PTS system mannose-specific EIIAB component
HDIIENPN_00235	CDS	804	sorA_1		COG3715	PTS system sorbose-specific EIIC component
HDIIENPN_00236	CDS	915	manZ_2		COG3716	PTS system mannose-specific EIID component
HDIIENPN_00237	CDS	375				hypothetical protein
HDIIENPN_00238	CDS	246				hypothetical protein
HDIIENPN_00239	CDS	1065	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF
HDIIENPN_00240	CDS	426				putative protein
HDIIENPN_00241	CDS	450	nusB		COG0781	Transcription antitermination protein NusB
HDIIENPN_00242	CDS	855	folD		COG0190	Bifunctional protein FolD protein
HDIIENPN_00243	CDS	1338	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
HDIIENPN_00244	CDS	225	xseB	3.1.11.6		Exodeoxyribonuclease 7 small subunit
HDIIENPN_00245	CDS	891		2.5.1.10		Farnesyl diphosphate synthase
HDIIENPN_00246	CDS	819	tlyA		COG1189	Hemolysin A
HDIIENPN_00247	CDS	450	argR_1		COG1438	Arginine repressor
HDIIENPN_00248	CDS	1683	recN		COG0497	DNA repair protein RecN
HDIIENPN_00249	CDS	117				hypothetical protein
HDIIENPN_00250	CDS	957				hypothetical protein
HDIIENPN_00251	CDS	369				hypothetical protein
HDIIENPN_00252	CDS	432	mraZ			Transcriptional regulator MraZ
HDIIENPN_00253	CDS	960	rsmH	2.1.1.199		Ribosomal RNA small subunit methyltransferase H
HDIIENPN_00254	CDS	402	ftsL			Cell division protein FtsL
HDIIENPN_00255	CDS	2193	pbpX_1		COG0768	Penicillin-binding protein 2X
HDIIENPN_00256	CDS	963	mraY	2.7.8.13	COG0472	Phospho-N-acetylmuramoyl-pentapeptide-transferase
HDIIENPN_00257	CDS	1362	murD	6.3.2.9		UDP-N-acetylmuramoylalanine--D-glutamate ligase
HDIIENPN_00258	CDS	1089	murG	2.4.1.227	COG0707	UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
HDIIENPN_00259	CDS	1221	divIB			Cell division protein DivIB
HDIIENPN_00260	CDS	1326	ftsA		COG0849	Cell division protein FtsA
HDIIENPN_00261	CDS	1242	ftsZ		COG0206	Cell division protein FtsZ
HDIIENPN_00262	CDS	678	yggS		COG0325	Pyridoxal phosphate homeostasis protein
HDIIENPN_00263	CDS	600	sepF			Cell division protein SepF
HDIIENPN_00264	CDS	783				hypothetical protein
HDIIENPN_00265	CDS	708	divIVA		COG3599	Cell division protein DivIVA
HDIIENPN_00266	CDS	2799	ileS	6.1.1.5	COG0060	Isoleucine--tRNA ligase
HDIIENPN_00267	CDS	1527	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
HDIIENPN_00268	CDS	648	dtxR			Diphtheria toxin repressor
HDIIENPN_00269	CDS	342				hypothetical protein
HDIIENPN_00270	CDS	729	sfsA		COG1489	Sugar fermentation stimulation protein A
HDIIENPN_00271	CDS	1014	iolU_1	1.1.1.371	COG0673	scyllo-inositol 2-dehydrogenase (NADP(+)) IolU
HDIIENPN_00272	CDS	1278	yfmL	3.6.4.13	COG0513	putative ATP-dependent RNA helicase YfmL
HDIIENPN_00273	CDS	2703	dgaR_3			Transcriptional regulatory protein DagR
HDIIENPN_00274	CDS	318	ptcB_1	2.7.1.204	COG1440	PTS system galactose-specific EIIB component
HDIIENPN_00275	CDS	321	licA_1		COG1447	Lichenan-specific phosphotransferase enzyme IIA component
HDIIENPN_00276	CDS	1461	celB		COG1455	PTS system cellobiose-specific EIIC component
HDIIENPN_00277	CDS	222				hypothetical protein
HDIIENPN_00278	CDS	183				hypothetical protein
HDIIENPN_00279	CDS	414				hypothetical protein
HDIIENPN_00280	CDS	1182	eis_1	2.3.1.-		N-acetyltransferase Eis
HDIIENPN_00281	CDS	165				hypothetical protein
HDIIENPN_00282	tRNA	76				tRNA-Arg(cct)
HDIIENPN_00283	CDS	1140	xerC_3			Tyrosine recombinase XerC
HDIIENPN_00284	CDS	135				hypothetical protein
HDIIENPN_00285	CDS	636				hypothetical protein
HDIIENPN_00286	CDS	636				hypothetical protein
HDIIENPN_00287	CDS	462				hypothetical protein
HDIIENPN_00288	CDS	432				hypothetical protein
HDIIENPN_00289	CDS	321				hypothetical protein
HDIIENPN_00290	CDS	777				hypothetical protein
HDIIENPN_00291	CDS	204				hypothetical protein
HDIIENPN_00292	CDS	339				hypothetical protein
HDIIENPN_00293	CDS	180				hypothetical protein
HDIIENPN_00294	CDS	504				hypothetical protein
HDIIENPN_00295	CDS	699				hypothetical protein
HDIIENPN_00296	CDS	342				hypothetical protein
HDIIENPN_00297	CDS	672				hypothetical protein
HDIIENPN_00298	CDS	687				hypothetical protein
HDIIENPN_00299	CDS	750				hypothetical protein
HDIIENPN_00300	CDS	270				hypothetical protein
HDIIENPN_00301	CDS	165				hypothetical protein
HDIIENPN_00302	CDS	303				hypothetical protein
HDIIENPN_00303	CDS	162				hypothetical protein
HDIIENPN_00304	CDS	300				hypothetical protein
HDIIENPN_00305	CDS	357				hypothetical protein
HDIIENPN_00306	CDS	246				hypothetical protein
HDIIENPN_00307	CDS	420				hypothetical protein
HDIIENPN_00308	CDS	558				hypothetical protein
HDIIENPN_00309	CDS	297				hypothetical protein
HDIIENPN_00310	CDS	414				hypothetical protein
HDIIENPN_00311	CDS	153				hypothetical protein
HDIIENPN_00312	CDS	276				hypothetical protein
HDIIENPN_00313	CDS	168				hypothetical protein
HDIIENPN_00314	CDS	345				hypothetical protein
HDIIENPN_00315	CDS	282				hypothetical protein
HDIIENPN_00316	CDS	315				hypothetical protein
HDIIENPN_00317	CDS	1695				hypothetical protein
HDIIENPN_00318	CDS	1179				hypothetical protein
HDIIENPN_00319	CDS	687	clpP_1	3.4.21.92		ATP-dependent Clp protease proteolytic subunit
HDIIENPN_00320	CDS	1161				hypothetical protein
HDIIENPN_00321	CDS	876				hypothetical protein
HDIIENPN_00322	CDS	312				hypothetical protein
HDIIENPN_00323	CDS	354				hypothetical protein
HDIIENPN_00324	CDS	402				hypothetical protein
HDIIENPN_00325	CDS	414				hypothetical protein
HDIIENPN_00326	CDS	609				hypothetical protein
HDIIENPN_00327	CDS	363				hypothetical protein
HDIIENPN_00328	CDS	3432	smc_1			Chromosome partition protein Smc
HDIIENPN_00329	CDS	1296				ISL3 family transposase ISEfa11
HDIIENPN_00330	CDS	738				hypothetical protein
HDIIENPN_00331	CDS	2292				hypothetical protein
HDIIENPN_00332	CDS	2127				hypothetical protein
HDIIENPN_00333	CDS	447				hypothetical protein
HDIIENPN_00334	CDS	138				hypothetical protein
HDIIENPN_00335	CDS	294				hypothetical protein
HDIIENPN_00336	CDS	225				hypothetical protein
HDIIENPN_00337	CDS	1026				hypothetical protein
HDIIENPN_00338	tRNA	74				tRNA-Met(cat)
HDIIENPN_00339	CDS	291				IS3 family transposase ISEfa8
HDIIENPN_00340	CDS	837				IS3 family transposase ISEfa8
HDIIENPN_00341	CDS	495				IS3 family transposase ISEnfa3
HDIIENPN_00342	CDS	408				hypothetical protein
HDIIENPN_00343	CDS	402				hypothetical protein
HDIIENPN_00344	CDS	372				hypothetical protein
HDIIENPN_00345	CDS	300				hypothetical protein
HDIIENPN_00346	CDS	222				hypothetical protein
HDIIENPN_00347	CDS	1188				IS256 family transposase IS16
HDIIENPN_00348	CDS	273				hypothetical protein
HDIIENPN_00349	CDS	924	ccpB			Catabolite control protein B
HDIIENPN_00350	CDS	753	mta		COG0789	HTH-type transcriptional activator mta
HDIIENPN_00351	CDS	363				hypothetical protein
HDIIENPN_00352	CDS	1473	pncB2	6.3.4.21	COG1488	Nicotinate phosphoribosyltransferase pncB2
HDIIENPN_00353	CDS	825	nadE	6.3.1.5	COG0171	NH(3)-dependent NAD(+) synthetase
HDIIENPN_00354	CDS	891				hypothetical protein
HDIIENPN_00355	CDS	1518	abfA_1	3.2.1.55		Intracellular exo-alpha-(1->5)-L-arabinofuranosidase
HDIIENPN_00356	CDS	1272	ugpB		COG1653	sn-glycerol-3-phosphate-binding periplasmic protein UgpB
HDIIENPN_00357	CDS	897	melD		COG1175	Melibiose/raffinose/stachyose import permease protein MelD
HDIIENPN_00358	CDS	864	araQ_2		COG0395	L-arabinose transport system permease protein AraQ
HDIIENPN_00359	CDS	564				hypothetical protein
HDIIENPN_00360	CDS	1512	abfA_2	3.2.1.55	COG3534	Intracellular exo-alpha-(1->5)-L-arabinofuranosidase 1
HDIIENPN_00361	CDS	960		3.2.1.55	COG3940	Extracellular exo-alpha-(1->5)-L-arabinofuranosidase
HDIIENPN_00362	CDS	1080	araR_1		COG1609	Arabinose metabolism transcriptional repressor
HDIIENPN_00363	CDS	1401	xylT			D-xylose transporter
HDIIENPN_00364	CDS	1662	xylB_1	2.7.1.17		Xylulose kinase
HDIIENPN_00365	CDS	699	sgbE	5.1.3.4	COG0235	L-ribulose-5-phosphate 4-epimerase SgbE
HDIIENPN_00366	CDS	1425	araA	5.3.1.4		L-arabinose isomerase
HDIIENPN_00367	CDS	1161	ghrB_1	1.1.1.81		Glyoxylate/hydroxypyruvate reductase B
HDIIENPN_00368	CDS	1860				hypothetical protein
HDIIENPN_00369	CDS	435				hypothetical protein
HDIIENPN_00370	CDS	162				hypothetical protein
HDIIENPN_00371	CDS	1023	pgl	3.1.1.31	COG2706	6-phosphogluconolactonase
HDIIENPN_00372	CDS	354				hypothetical protein
HDIIENPN_00373	CDS	1167				hypothetical protein
HDIIENPN_00374	CDS	621	azoR	1.7.1.17	COG1182	FMN-dependent NADH-azoreductase
HDIIENPN_00375	CDS	297				hypothetical protein
HDIIENPN_00376	CDS	651				hypothetical protein
HDIIENPN_00377	CDS	1728			COG1132	putative ABC transporter ATP-binding protein
HDIIENPN_00378	CDS	255				hypothetical protein
HDIIENPN_00379	CDS	1638		7.6.2.-	COG1132	Fatty acid ABC transporter ATP-binding/permease protein
HDIIENPN_00380	CDS	870	catE	1.13.11.2	COG2514	Catechol-2,3-dioxygenase
HDIIENPN_00381	CDS	1026	amiE	3.5.1.28		N-acetylmuramyl-L-alanine amidase
HDIIENPN_00382	CDS	951	gmuF	5.3.1.8	COG1482	putative mannose-6-phosphate isomerase GmuF
HDIIENPN_00383	CDS	351	mtlA			PTS system mannitol-specific EIICB component
HDIIENPN_00384	CDS	1320				hypothetical protein
HDIIENPN_00385	CDS	2034	mtlR			Transcriptional regulator MtlR
HDIIENPN_00386	CDS	441	mtlF_1		COG2213	Mannitol-specific phosphotransferase enzyme IIA component
HDIIENPN_00387	CDS	1128				hypothetical protein
